config,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Test Accuracy,Test Precision,Test Recall,Test F1
"{'output_channels': 30, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': True, 'use_batch_norm': True}",0.552312631548961,0.7096219931271477,0.7147985703195465,0.6830297666613259,0.6914131612111108,0.758832857000683,0.48439608636977055,0.6766890516890517,0.5907692185724652,0.4403532441944509,0.5728937728937729,0.4586255259467041,0.6240458015267175,0.5286984640258691
"{'output_channels': 30, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': False, 'use_batch_norm': True}",0.4418189444233376,0.7859060505645556,0.8036369496007845,0.7629539403556189,0.7740895697172262,1.0410305572424823,0.4783232118758434,0.6803566303506765,0.6381104475020685,0.48179564518821594,0.5787545787545788,0.46453407510431155,0.6374045801526718,0.5374094931617055
"{'output_channels': 30, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': True, 'use_batch_norm': True}",0.652507240866122,0.6065368802160039,0.6262711608287876,0.5266408060605503,0.5596308850411674,0.8268641844452151,0.3460273279352227,0.6755416696593166,0.44621641737770584,0.27341594231575506,0.5684981684981685,0.43070362473347545,0.38549618320610685,0.40684793554884185
"{'output_channels': 30, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': False, 'use_batch_norm': True}",0.28965556953623545,0.867820324005891,0.8710207633775393,0.8628117961223745,0.8627540816588786,1.4886711620126176,0.42438427800269907,0.6816389681208685,0.5851049326901713,0.43419425181303084,0.547985347985348,0.439374185136897,0.6431297709923665,0.5220759101471728
"{'output_channels': 30, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.1, 'num_epochs': 200, 'use_dropout': True, 'use_batch_norm': True}",0.8465384608971721,0.5097033014236623,0.5440996952872729,0.49281519778425714,0.41126413432841447,0.6678784067331538,0.6875,0.6875,1.0,0.7056583036160786,0.3838827838827839,0.3838827838827839,1.0,0.5547908946532557
"{'output_channels': 30, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'adam', 'learning_rate': 0.1, 'num_epochs': 200, 'use_dropout': False, 'use_batch_norm': True}",0.7277942379386229,0.5063972754050073,0.7541881443298969,0.4948453608247423,0.32904722410421866,0.6864734685372728,0.6875,0.6875,1.0,0.7056583036160786,0.3838827838827839,0.3838827838827839,1.0,0.5547908946532557
"{'output_channels': 30, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': True, 'use_batch_norm': True}",0.6910975995959439,0.5324466126656848,0.536730243073202,0.45215039331388024,0.4813088503593782,0.7075778486757626,0.36905364372469635,0.6718628593628594,0.4623329727694854,0.29882672143743366,0.5157509157509158,0.39280125195618154,0.47900763358778625,0.4316423043852106
"{'output_channels': 30, 'hidden_size': 32, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.001, 'num_epochs': 50, 'use_dropout': False, 'use_batch_norm': True}",0.6876073749253533,0.54764205940108,0.550550033710423,0.5188898437934016,0.5236921090558874,0.7141372536840709,0.3446778002699055,0.664346776903338,0.4655508974816151,0.2885079731147675,0.5421245421245421,0.4192,0.5,0.4560487380330722
"{'output_channels': 30, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': True, 'use_batch_norm': True}",0.6569218172052896,0.5875981836033383,0.6229769143635795,0.4878684958964876,0.5249196743675161,0.771340613374826,0.3686740890688259,0.6743137254901961,0.4688543732140421,0.298585115971869,0.578021978021978,0.4432314410480349,0.38740458015267176,0.4134419551934827
"{'output_channels': 30, 'hidden_size': 64, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.01, 'num_epochs': 100, 'use_dropout': False, 'use_batch_norm': True}",0.6569171882510589,0.5979074619538537,0.6075077076098432,0.5597903852705406,0.5690570626096627,0.7530102530954338,0.4489288124156546,0.6791308975924361,0.6507234931413307,0.4606493986027678,0.5194139194139195,0.4100817438692098,0.5744274809160306,0.4785373608903021
"{'output_channels': 30, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.1, 'num_epochs': 200, 'use_dropout': True, 'use_batch_norm': True}",0.5725979136135648,0.6989982204221895,0.7169670393259339,0.6594462527310584,0.6768114175015696,0.8930216770905715,0.38423582995951416,0.6733171798961273,0.5110677346477537,0.3525724358311828,0.5443223443223443,0.4180602006688963,0.4770992366412214,0.44563279857397503
"{'output_channels': 30, 'hidden_size': 128, 'num_classes': 1, 'optimizer_name': 'sgd', 'learning_rate': 0.1, 'num_epochs': 200, 'use_dropout': False, 'use_batch_norm': True}",0.41338446216466296,0.8067623956799215,0.8109682132710264,0.8039482622920087,0.7991551228382204,1.261965989776951,0.3988697705802969,0.6844458917988329,0.4916601850147536,0.34563253498363755,0.5032967032967033,0.3574074074074074,0.3683206106870229,0.36278195488721804
